URL,Page type,WXR status,Expected logged-out HTTP,actual_http_status,final_url,x_robots_tag,robots_meta,rendered_title,visible_marker,Expected WXR title,QA decision,Notes
/shed-and-garage-slabs-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/shed-and-garage-slabs-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Shed and Garage Slabs South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/exposed-aggregate-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/exposed-aggregate-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Exposed Aggregate Concrete South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/decorative-concrete-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/decorative-concrete-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Decorative Concrete South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concrete-patios-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/concrete-patios-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Patios and Alfresco Slabs South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concrete-paths-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/concrete-paths-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Paths and Pathways South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/concrete-crossovers-and-laybacks-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/concrete-crossovers-and-laybacks-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Crossovers and Laybacks South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/commercial-concreting-south-west-sydney/,service,publish,200,404,http://127.0.0.1:8088/commercial-concreting-south-west-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Commercial Concreting South West Sydney,BLOCKED,Authoritative import was rolled back; this is not the expected Camden page.
/guides/,guide_hub,draft,404,404,http://127.0.0.1:8088/guides/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreting Guides for South West Sydney,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/broom-finish-concrete/,guide,draft,404,404,http://127.0.0.1:8088/guides/broom-finish-concrete/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Broom Finish Concrete,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/camden-council-driveway-crossing/,guide,draft,404,404,http://127.0.0.1:8088/guides/camden-council-driveway-crossing/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Camden Council Driveway Crossing,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/campbelltown-council-driveway-crossing/,guide,draft,404,404,http://127.0.0.1:8088/guides/campbelltown-council-driveway-crossing/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Campbelltown Council Driveway Crossing,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/coloured-concrete-explained/,guide,draft,404,404,http://127.0.0.1:8088/guides/coloured-concrete-explained/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Coloured Concrete Explained,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/commercial-hardstand-cost/,guide,draft,404,404,http://127.0.0.1:8088/guides/commercial-hardstand-cost/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Commercial Hardstand Cost,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-crack-types-and-which-matter/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-crack-types-and-which-matter/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Crack Types And Which Matter,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-driveway-cost-nsw/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-driveway-cost-nsw/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Driveway Cost NSW,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-efflorescence/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-efflorescence/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Efflorescence,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-repair-vs-replace/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-repair-vs-replace/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Repair vs Replace,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-slab-cost-per-m2/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-slab-cost-per-m2/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Slab Cost Per m2,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-strength-grades-explained/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-strength-grades-explained/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete Strength Grades Explained,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/concrete-vs-pavers-vs-asphalt/,guide,draft,404,404,http://127.0.0.1:8088/guides/concrete-vs-pavers-vs-asphalt/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concrete vs Pavers vs Asphalt,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/control-joints-and-saw-cut-timing/,guide,draft,404,404,http://127.0.0.1:8088/guides/control-joints-and-saw-cut-timing/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Control Joints And Saw Cut Timing,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/curing-concrete-in-summer-vs-winter/,guide,draft,404,404,http://127.0.0.1:8088/guides/curing-concrete-in-summer-vs-winter/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Curing Concrete In Summer vs Winter,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/do-i-need-council-approval-driveway-nsw/,guide,draft,404,404,http://127.0.0.1:8088/guides/do-i-need-council-approval-driveway-nsw/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Do I Need Council Approval Driveway NSW,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/driveway-crossover-cost-nsw/,guide,draft,404,404,http://127.0.0.1:8088/guides/driveway-crossover-cost-nsw/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Driveway Crossover Cost NSW,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/engineered-fill-and-why-new-estate-slabs-crack/,guide,draft,404,404,http://127.0.0.1:8088/guides/engineered-fill-and-why-new-estate-slabs-crack/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Engineered Fill And Why New Estate Slabs Crack,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/exposed-aggregate-cost/,guide,draft,404,404,http://127.0.0.1:8088/guides/exposed-aggregate-cost/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Exposed Aggregate Cost,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/exposed-aggregate-vs-stencil/,guide,draft,404,404,http://127.0.0.1:8088/guides/exposed-aggregate-vs-stencil/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Exposed Aggregate vs Stencil,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/honed-and-polished-concrete/,guide,draft,404,404,http://127.0.0.1:8088/guides/honed-and-polished-concrete/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Honed And Polished Concrete,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/how-long-before-you-can-drive-on-concrete/,guide,draft,404,404,http://127.0.0.1:8088/guides/how-long-before-you-can-drive-on-concrete/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,How Long Before You Can Drive On Concrete,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/liverpool-council-vehicle-crossing/,guide,draft,404,404,http://127.0.0.1:8088/guides/liverpool-council-vehicle-crossing/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Liverpool Council Vehicle Crossing,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/non-slip-finishes-for-pools-and-slopes/,guide,draft,404,404,http://127.0.0.1:8088/guides/non-slip-finishes-for-pools-and-slopes/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Non Slip Finishes For Pools And Slopes,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/reactive-clay-slabs-as2870/,guide,draft,404,404,http://127.0.0.1:8088/guides/reactive-clay-slabs-as2870/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Reactive Clay Slabs AS 2870,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/removing-oil-stains-and-tyre-marks-from-concrete/,guide,draft,404,404,http://127.0.0.1:8088/guides/removing-oil-stains-and-tyre-marks-from-concrete/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Removing Oil Stains And Tyre Marks From Concrete,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/salinity-and-concrete-western-sydney/,guide,draft,404,404,http://127.0.0.1:8088/guides/salinity-and-concrete-western-sydney/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Salinity And Concrete Western Sydney,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/sealing-and-resealing-concrete/,guide,draft,404,404,http://127.0.0.1:8088/guides/sealing-and-resealing-concrete/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Sealing And Resealing Concrete,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/shed-slab-cost/,guide,draft,404,404,http://127.0.0.1:8088/guides/shed-slab-cost/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Shed Slab Cost,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/site-classification-explained/,guide,draft,404,404,http://127.0.0.1:8088/guides/site-classification-explained/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Site Classification Explained,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/sl72-vs-sl82-reinforcement/,guide,draft,404,404,http://127.0.0.1:8088/guides/sl72-vs-sl82-reinforcement/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,SL72 vs SL82 Reinforcement,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/slab-thickness-for-driveways-vs-sheds/,guide,draft,404,404,http://127.0.0.1:8088/guides/slab-thickness-for-driveways-vs-sheds/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Slab Thickness For Driveways vs Sheds,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/stencilled-vs-stamped-concrete-cost/,guide,draft,404,404,http://127.0.0.1:8088/guides/stencilled-vs-stamped-concrete-cost/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Stencilled vs Stamped Concrete Cost,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/what-actually-moves-a-concrete-quote/,guide,draft,404,404,http://127.0.0.1:8088/guides/what-actually-moves-a-concrete-quote/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,What Actually Moves A Concrete Quote,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/why-concrete-cracks/,guide,draft,404,404,http://127.0.0.1:8088/guides/why-concrete-cracks/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Why Concrete Cracks,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/guides/wollondilly-council-driveway-crossing/,guide,draft,404,404,http://127.0.0.1:8088/guides/wollondilly-council-driveway-crossing/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Wollondilly Council Driveway Crossing,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-appin/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-appin/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Appin,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-bargo/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-bargo/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Bargo,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-bradbury/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-bradbury/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Bradbury,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-bringelly/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-bringelly/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Bringelly,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-camden-park/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-camden-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Camden Park,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-camden-south/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-camden-south/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Camden South,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-campbelltown/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-campbelltown/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Campbelltown,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-carnes-hill/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-carnes-hill/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Carnes Hill,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-casula/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-casula/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Casula,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-catherine-field/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-catherine-field/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Catherine Field,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-cawdor/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-cawdor/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Cawdor,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-cecil-hills/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-cecil-hills/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Cecil Hills,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-cecil-park/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-cecil-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Cecil Park,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-chipping-norton/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-chipping-norton/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Chipping Norton,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-cobbitty/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-cobbitty/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Cobbitty,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-currans-hill/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-currans-hill/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Currans Hill,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-douglas-park/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-douglas-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Douglas Park,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-eagle-vale/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-eagle-vale/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Eagle Vale,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-edmondson-park/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-edmondson-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Edmondson Park,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-elderslie/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-elderslie/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Elderslie,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-elizabeth-hills/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-elizabeth-hills/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Elizabeth Hills,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-ellis-lane/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-ellis-lane/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Ellis Lane,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-gilead/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-gilead/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Gilead,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-glen-alpine/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-glen-alpine/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Glen Alpine,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-glenfield/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-glenfield/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Glenfield,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-grasmere/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-grasmere/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Grasmere,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-horningsea-park/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-horningsea-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Horningsea Park,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-hoxton-park/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-hoxton-park/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Hoxton Park,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-ingleburn/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-ingleburn/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Ingleburn,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
/concreters-kemps-creek/,suburb,draft,404,404,http://127.0.0.1:8088/concreters-kemps-creek/,"noindex, nofollow, noarchive","noindex, nofollow, noarchive",Page not found &#8211; Camden Concreting Local Smoke Test,no,Concreters Kemps Creek,BLOCKED,"404 observed, but the draft is absent after rollback; imported draft handling is not proven."
