attachment_id,old_filename,expected_filename,expected_upload_path,expected_extension,extension_case_ok,expected_mime,expected_width,expected_height,source_binary_found,prepared_binary_found,actual_mime,actual_width,actual_height,metadata_stripped,sha256,audit_result,notes
159,ChatGPT-Image-Jul-6-2026-01_52_19-PM.png,chatgpt-image-jul-6-2026-01-52-19-pm-camden-159.png,/wp-content/uploads/2026/07/chatgpt-image-jul-6-2026-01-52-19-pm-camden-159.png,.png,yes,image/png,1254,1254,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
166,shedslabconcrete.jpg,shedslabconcrete-camden-166.jpg,/wp-content/uploads/2026/07/shedslabconcrete-camden-166.jpg,.jpg,yes,image/jpeg,640,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
167,garage-slabs-concrete.jpg,garage-slabs-concrete-camden-167.jpg,/wp-content/uploads/2026/07/garage-slabs-concrete-camden-167.jpg,.jpg,yes,image/jpeg,679,452,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
168,exension-and-floor-slabs-concrete.jpg,extension-and-floor-slabs-concrete-camden-168.jpg,/wp-content/uploads/2026/07/extension-and-floor-slabs-concrete-camden-168.jpg,.jpg,yes,image/jpeg,447,447,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
177,cropped-ChatGPT-Image-Jul-6-2026-07_59_41-PM.png,cropped-chatgpt-image-jul-6-2026-07-59-41-pm-camden-177.png,/wp-content/uploads/2026/07/cropped-chatgpt-image-jul-6-2026-07-59-41-pm-camden-177.png,.png,yes,image/png,512,512,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
181,side-access-paths-concrete.jpg,side-access-paths-concrete-camden-181.jpg,/wp-content/uploads/2026/07/side-access-paths-concrete-camden-181.jpg,.jpg,yes,image/jpeg,399,501,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
182,concrete-garden-paths-and-connecting-paths-concrete.jpg,concrete-garden-paths-and-connecting-paths-concrete-camden-182.jpg,/wp-content/uploads/2026/07/concrete-garden-paths-and-connecting-paths-concrete-camden-182.jpg,.jpg,yes,image/jpeg,640,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
183,front-and-entry-paths-concrete.jpg,front-and-entry-paths-concrete-camden-183.jpg,/wp-content/uploads/2026/07/front-and-entry-paths-concrete-camden-183.jpg,.jpg,yes,image/jpeg,599,583,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
184,accessible-paths-concrete.jpg,accessible-paths-concrete-camden-184.jpg,/wp-content/uploads/2026/07/accessible-paths-concrete-camden-184.jpg,.jpg,yes,image/jpeg,529,579,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
226,concretejob2werribee.jpg,concretejob2camden-226.jpg,/wp-content/uploads/2026/07/concretejob2camden-226.jpg,.jpg,yes,image/jpeg,640,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
227,backyard-patio-concreter.jpg,backyard-patio-concreter-camden-227.jpg,/wp-content/uploads/2026/07/backyard-patio-concreter-camden-227.jpg,.jpg,yes,image/jpeg,800,600,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
228,cocnretejob1weribee.jpg,concretejob1camden-228.jpg,/wp-content/uploads/2026/07/concretejob1camden-228.jpg,.jpg,yes,image/jpeg,638,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
250,logo-3.png,corex-concreters-camden-logo-250.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-250.png,.png,yes,image/png,156,40,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
272,cropped-ChatGPT-Image-Jul-6-2026-01_52_19-PM.png,cropped-chatgpt-image-jul-6-2026-01-52-19-pm-camden-272.png,/wp-content/uploads/2026/07/cropped-chatgpt-image-jul-6-2026-01-52-19-pm-camden-272.png,.png,yes,image/png,1252,683,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
275,Image_Placeholder_Hero.jpeg,image-placeholder-hero-camden-275.jpeg,/wp-content/uploads/2026/07/image-placeholder-hero-camden-275.jpeg,.jpeg,yes,image/jpeg,1027,835,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
276,Image-Contact-1.jpg,image-contact-1-camden-276.jpg,/wp-content/uploads/2026/07/image-contact-1-camden-276.jpg,.jpg,yes,image/jpeg,853,430,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
277,Image_Placeholder_Hero-1.jpeg,image-placeholder-hero-1-camden-277.jpeg,/wp-content/uploads/2026/07/image-placeholder-hero-1-camden-277.jpeg,.jpeg,yes,image/jpeg,1027,835,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
278,Image_Placeholder-about-1.jpeg,image-placeholder-about-1-camden-278.jpeg,/wp-content/uploads/2026/07/image-placeholder-about-1-camden-278.jpeg,.jpeg,yes,image/jpeg,683,600,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
279,Image_Placeholder-about.jpeg,image-placeholder-about-camden-279.jpeg,/wp-content/uploads/2026/07/image-placeholder-about-camden-279.jpeg,.jpeg,yes,image/jpeg,683,600,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
280,Image-Testemonials.jpeg,image-testemonials-camden-280.jpeg,/wp-content/uploads/2026/07/image-testemonials-camden-280.jpeg,.jpeg,yes,image/jpeg,63,63,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
306,e_t_co_concreters_favicon_512_symbol_only.png,corex-concreters-camden-logo-306.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-306.png,.png,yes,image/png,512,512,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
307,cropped-e_t_co_concreters_favicon_512_symbol_only.png,corex-concreters-camden-logo-307.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-307.png,.png,yes,image/png,512,374,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
308,eandtcologo.png,corex-concreters-camden-logo-308.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-308.png,.png,yes,image/png,1254,1254,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
309,cropped-eandtcologo.png,corex-concreters-camden-logo-309.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-309.png,.png,yes,image/png,1253,1121,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
323,About-2-Hero.jpg,about-2-hero-camden-323.jpg,/wp-content/uploads/2026/07/about-2-hero-camden-323.jpg,.jpg,yes,image/jpeg,920,657,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
422,cropped-e_t_co_concreters_favicon_512_symbol_only-1.png,corex-concreters-camden-logo-422.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-422.png,.png,yes,image/png,512,364,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
468,e-t-co-logo-transparent.png,corex-concreters-camden-logo-468.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-468.png,.png,yes,image/png,512,512,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
469,cropped-e-t-co-logo-transparent.png,corex-concreters-camden-logo-469.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-469.png,.png,yes,image/png,507,296,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
471,e-t-co-logo-512.png,corex-concreters-camden-logo-471.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-471.png,.png,yes,image/png,512,512,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
472,cropped-e-t-co-logo-512.png,corex-concreters-camden-logo-472.png,/wp-content/uploads/2026/07/corex-concreters-camden-logo-472.png,.png,yes,image/png,512,512,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
480,pointcook1.webp,oran-park1-480.webp,/wp-content/uploads/2026/07/oran-park1-480.webp,.webp,yes,image/webp,1280,960,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
481,pointcook2.webp,oran-park2-481.webp,/wp-content/uploads/2026/07/oran-park2-481.webp,.webp,yes,image/webp,1280,960,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
482,pointcook3.webp,oran-park3-482.webp,/wp-content/uploads/2026/07/oran-park3-482.webp,.webp,yes,image/webp,765,1020,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
609,exposed-aggregate-adelaide.jpg,exposed-aggregate-south-west-sydney-609.jpg,/wp-content/uploads/2026/07/exposed-aggregate-south-west-sydney-609.jpg,.jpg,yes,image/jpeg,1448,1086,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
906,excavation-werribee.jpg,driveway-excavation-camden-906.jpg,/wp-content/uploads/2026/07/driveway-excavation-camden-906.jpg,.jpg,yes,image/jpeg,738,384,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
907,werribee-town.jpg,camden-town-centre-907.jpg,/wp-content/uploads/2026/07/camden-town-centre-907.jpg,.jpg,yes,image/jpeg,515,388,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
908,new-estates-werribee.jpg,oran-park-growth-estate-908.jpg,/wp-content/uploads/2026/07/oran-park-growth-estate-908.jpg,.jpg,yes,image/jpeg,534,374,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
909,control-joints-and-cracks.jpg,control-joints-and-cracks-camden-909.jpg,/wp-content/uploads/2026/07/control-joints-and-cracks-camden-909.jpg,.jpg,yes,image/jpeg,640,479,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
924,coloured-concrete-melbourne.png,coloured-concrete-south-west-sydney-924.png,/wp-content/uploads/2026/07/coloured-concrete-south-west-sydney-924.png,.png,yes,image/png,1200,1200,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
925,stencil-concrete-melbourne.webp,stencil-concrete-south-west-sydney-925.webp,/wp-content/uploads/2026/07/stencil-concrete-south-west-sydney-925.webp,.webp,yes,image/webp,600,450,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
926,stamped-copncrete-melbourne.jpg,stamped-concrete-south-west-sydney-926.jpg,/wp-content/uploads/2026/07/stamped-concrete-south-west-sydney-926.jpg,.jpg,yes,image/jpeg,554,554,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
927,honed-and-polished-concrete.webp,honed-and-polished-concrete-camden-927.webp,/wp-content/uploads/2026/07/honed-and-polished-concrete-camden-927.webp,.webp,yes,image/webp,853,1024,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
956,melbournes-west.png,south-west-sydney-growth-corridor-956.png,/wp-content/uploads/2026/07/south-west-sydney-growth-corridor-956.png,.png,yes,image/png,906,680,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1020,TARNEIT-SOIL.jpg,wianamatta-shale-clay-camden-1020.jpg,/wp-content/uploads/2026/07/wianamatta-shale-clay-camden-1020.jpg,.jpg,yes,image/jpeg,640,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1056,davis-creek-tarneit.jpg,south-creek-drainage-corridor-1056.jpg,/wp-content/uploads/2026/07/south-creek-drainage-corridor-1056.jpg,.jpg,yes,image/jpeg,800,600,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1065,concrete-slabs.jpg,concrete-slabs-camden-1065.jpg,/wp-content/uploads/2026/07/concrete-slabs-camden-1065.jpg,.jpg,yes,image/jpeg,554,554,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1066,pouring-a-concrete-slab.jpg,pouring-a-concrete-slab-camden-1066.jpg,/wp-content/uploads/2026/07/pouring-a-concrete-slab-camden-1066.jpg,.jpg,yes,image/jpeg,640,427,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1067,verified-badge-e1784545689665.avif,verified-badge-e1784545689665-camden-1067.avif,/wp-content/uploads/2026/07/verified-badge-e1784545689665-camden-1067.avif,.avif,yes,image/avif,1000,807,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1068,what-is-a-concrete-slab.jpg,what-is-a-concrete-slab-camden-1068.jpg,/wp-content/uploads/2026/07/what-is-a-concrete-slab-camden-1068.jpg,.jpg,yes,image/jpeg,480,640,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1109,what-is-exposed-aggregate.jpg,what-is-exposed-aggregate-camden-1109.jpg,/wp-content/uploads/2026/07/what-is-exposed-aggregate-camden-1109.jpg,.jpg,yes,image/jpeg,517,593,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1150,1970s-home-hoppers-crossing.jpg,established-home-mount-annan-1150.jpg,/wp-content/uploads/2026/07/established-home-mount-annan-1150.jpg,.jpg,yes,image/jpeg,569,368,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1151,reactive-clay-concreter.jpg,reactive-clay-concreter-camden-1151.jpg,/wp-content/uploads/2026/07/reactive-clay-concreter-camden-1151.jpg,.jpg,yes,image/jpeg,738,357,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1152,hoppers-crossing-aerial-shot.jpg,mount-annan-established-housing-1152.jpg,/wp-content/uploads/2026/07/mount-annan-established-housing-1152.jpg,.jpg,yes,image/jpeg,636,481,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1153,crossovers.jpg,camden-council-driveway-crossing-1153.jpg,/wp-content/uploads/2026/07/camden-council-driveway-crossing-1153.jpg,.jpg,yes,image/jpeg,783,391,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1185,crossovers-concrete-truganina.jpg,council-crossing-south-west-sydney-1185.jpg,/wp-content/uploads/2026/07/council-crossing-south-west-sydney-1185.jpg,.jpg,yes,image/jpeg,515,388,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1186,truganina-commercial.webp,gregory-hills-commercial-concreting-1186.webp,/wp-content/uploads/2026/07/gregory-hills-commercial-concreting-1186.webp,.webp,yes,image/webp,984,554,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1187,new-estates-truganina.jpg,leppington-new-estates-1187.jpg,/wp-content/uploads/2026/07/leppington-new-estates-1187.jpg,.jpg,yes,image/jpeg,645,310,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1188,reactive-clay-concreter-1.jpg,reactive-clay-concreter-1-camden-1188.jpg,/wp-content/uploads/2026/07/reactive-clay-concreter-1-camden-1188.jpg,.jpg,yes,image/jpeg,738,357,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1230,shrinkage-cracks.jpg,shrinkage-cracks-camden-1230.jpg,/wp-content/uploads/2026/07/shrinkage-cracks-camden-1230.jpg,.jpg,yes,image/jpeg,499,375,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1231,settlement-cracks.jpg,settlement-cracks-camden-1231.jpg,/wp-content/uploads/2026/07/settlement-cracks-camden-1231.jpg,.jpg,yes,image/jpeg,640,479,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1232,heave-cracks.jpg,heave-cracks-camden-1232.jpg,/wp-content/uploads/2026/07/heave-cracks-camden-1232.jpg,.jpg,yes,image/jpeg,701,438,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1233,structural-cracks.jpg,structural-cracks-camden-1233.jpg,/wp-content/uploads/2026/07/structural-cracks-camden-1233.jpg,.jpg,yes,image/jpeg,662,463,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1345,concrete-sealing.jpg,concrete-sealing-camden-1345.jpg,/wp-content/uploads/2026/07/concrete-sealing-camden-1345.jpg,.jpg,yes,image/jpeg,738,408,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1359,concrete-driveway-cracks.jpg,concrete-driveway-cracks-camden-1359.jpg,/wp-content/uploads/2026/07/concrete-driveway-cracks-camden-1359.jpg,.jpg,yes,image/jpeg,638,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1361,concrete-drivewya-cracks-1.jpg,concrete-driveway-cracks-1-camden-1361.jpg,/wp-content/uploads/2026/07/concrete-driveway-cracks-1-camden-1361.jpg,.jpg,yes,image/jpeg,638,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
1362,concrete-driveway-cracks-2.jpg,concrete-driveway-cracks-2-camden-1362.jpg,/wp-content/uploads/2026/07/concrete-driveway-cracks-2-camden-1362.jpg,.jpg,yes,image/jpeg,638,480,no,no,,,,unverifiable,,blocked_missing_binary,Expected metadata comes from the WXR; no original or prepared binary was supplied.
