URL,Page type,Current WordPress status,Current robots setting,Placeholder count,Photo marker count,Verification marker count,Phone verified,Form dependency,Business-evidence dependency,Index-ready,Exact missing evidence,Recommended action,Page ID,Slug,Page class,Tier,Build status,Blocking marker IDs,Blocking count,Clearable by,Wave assignment,Effective robots directive,Withdrawn,Withdrawal reason
/shed-and-garage-slabs-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved shed and garage slabs range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1367,shed-and-garage-slabs-south-west-sydney,service,,built,EV-0057,1,owner fact,1,"noindex,follow",no,
/exposed-aggregate-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved exposed aggregate concrete range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",129,exposed-aggregate-south-west-sydney,service,,built,EV-0008,1,owner fact,1,"noindex,follow",no,
/decorative-concrete-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved decorative concrete range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",922,decorative-concrete-south-west-sydney,service,,built,EV-0033,1,owner fact,1,"noindex,follow",no,
/concrete-patios-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",3,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete patios and alfresco slabs range from real CoreX quotes, including the assumptions behind it; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",195,concrete-patios-south-west-sydney,service,,built,EV-0013;EV-0014;EV-0015,3,owner fact,1,"noindex,follow",no,
/concrete-paths-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",3,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; operator-approved concrete paths and pathways range from real CoreX quotes, including the assumptions behind it; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",178,concrete-paths-south-west-sydney,service,,built,EV-0010;EV-0011;EV-0012,3,owner fact,1,"noindex,follow",no,
/concrete-crossovers-and-laybacks-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",3,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved concrete crossovers and laybacks range from real CoreX quotes, including the assumptions behind it; verified CoreX ABN; verified CoreX business address; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1368,concrete-crossovers-and-laybacks-south-west-sydney,service,,built,EV-0058;EV-0059;EV-0060,3,owner fact,1,"noindex,follow",no,
/commercial-concreting-south-west-sydney/,service,publish,"global staging: noindex,nofollow,noarchive; page: default (no page override)",1,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved commercial concreting range from real CoreX quotes, including the assumptions behind it; authoritative media/Astra import and logged-out visual QA","Keep protected and noindex; resolve every listed item, then repeat staging QA before approval.",1369,commercial-concreting-south-west-sydney,service,,built,EV-0061,1,owner fact,1,"noindex,follow",no,
/guides/,guide_hub,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1502,guides,guide_hub,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/broom-finish-concrete/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1447,broom-finish-concrete,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/camden-council-driveway-crossing/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",2,0,1,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; any unresearched figure or process stated under Camden Council Driveway Crossing before publication; verified CoreX ABN; verified CoreX business address; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",706,camden-council-driveway-crossing,guide,,built,EV-0030;EV-0031;EV-0032,3,council source;owner fact,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/campbelltown-council-driveway-crossing/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,1,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,"verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; current Campbelltown City Council vehicle-crossing specification, application, fees, inspections, widths and grades before this guide is published; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA","Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1426,campbelltown-council-driveway-crossing,guide,,built,EV-0098,1,council source,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/coloured-concrete-explained/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1445,coloured-concrete-explained,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/commercial-hardstand-cost/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1442,commercial-hardstand-cost,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-crack-types-and-which-matter/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1451,concrete-crack-types-and-which-matter,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-driveway-cost-nsw/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",3,0,0,no — global contact presentation unverified,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; verified global header/footer phone after Astra settings are supplied; operator-approved amount or range from real CoreX quotes relevant to Concrete Driveway Cost NSW; verified CoreX ABN; verified CoreX business address; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",555,concrete-driveway-cost-nsw,guide,,built,EV-0027;EV-0028;EV-0029,3,owner fact,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-efflorescence/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1455,concrete-efflorescence,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-repair-vs-replace/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1452,concrete-repair-vs-replace,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-slab-cost-per-m2/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1438,concrete-slab-cost-per-m2,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-strength-grades-explained/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1434,concrete-strength-grades-explained,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/concrete-vs-pavers-vs-asphalt/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1450,concrete-vs-pavers-vs-asphalt,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/control-joints-and-saw-cut-timing/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1437,control-joints-and-saw-cut-timing,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/curing-concrete-in-summer-vs-winter/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1454,curing-concrete-in-summer-vs-winter,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/do-i-need-council-approval-driveway-nsw/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1429,do-i-need-council-approval-driveway-nsw,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/driveway-crossover-cost-nsw/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1428,driveway-crossover-cost-nsw,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/engineered-fill-and-why-new-estate-slabs-crack/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1432,engineered-fill-and-why-new-estate-slabs-crack,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/exposed-aggregate-cost/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1439,exposed-aggregate-cost,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/exposed-aggregate-vs-stencil/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1444,exposed-aggregate-vs-stencil,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
/guides/honed-and-polished-concrete/,guide,draft,"global staging: noindex,nofollow,noarchive; page: noindex,follow",0,0,0,no — number present,none in page content,yes — legal/operating identity; plus any listed page-specific evidence,no,verified legal/operating identity for CoreX Concreters Camden; ownership and call-routing proof for 03 4517 6915; page-specific publication-wave approval; authoritative media/Astra import and logged-out visual QA,"Keep draft; resolve page evidence and wave gate, then stage and QA before any status change.",1446,honed-and-polished-concrete,guide,,built,,0,,none — WITHDRAWN (D21),"noindex,follow",YES,"DECISION-04 D21 — SEVERE coherence failure, same disposition as the 35 intersections. Excluded at import; NOT deleted from the immutable WXR. Research inputs retained as rebuild material; expansion-300-pages.md §5 guide taxonomy stays valid."
