service,field,current_claim,current_value,classification,resolved_value,public_wording,source_title,source_url,source_date,source_page,access_date,jurisdiction,verified,remaining_input,notes
concrete-slabs-south-west-sydney,edges/formwork,"<p>residential-slab scope verifies measured geometry; residential-slab scope links the supporting record. residential-slab scope measures length width; residential-slab scope marks the evidence owner. residential-slab scope logs depth grade; residential-slab scope stores the reference. residential-slab scope verifies edges and; residential-slab scope flags the authority. residential-slab scope checks changes in; residential-slab scope preserves attribution. residential-slab scope lists direction; residential-slab scope holds the citation. residential-slab scope states unresolved measured geometry; residential-slab scope keeps it open.</p>

---

<p>residential-slab scope logs excavation plan; residential-slab scope keeps the basis explicit. residential-slab scope tracks cut depth; residential-slab scope flags the authority. residential-slab scope notes spoil volume; residential-slab scope preserves attribution. residential-slab scope documents retained edges; residential-slab scope holds the citation. residential-slab scope tests and buried; residential-slab scope keeps provenance visible. residential-slab scope measures service constraints; residential-slab scope retains the source. residential-slab scope verifies unresolved excavation plan; residential-slab scope keeps it open. [[PLACEHOLDER: operator-approved concrete slabs range from real Structure Co quotes, including the assumptions behind it]]</p>",,DESIGN-SPECIFIC,"Edge and formwork details depend on geometry, levels, restraint, adjacent construction and a safely planned formwork system.","Edges and formwork for the concrete slab are detailed for its geometry, levels, restraints and adjoining construction, with a suitable safe work method.",Formwork Code of Practice | Residential Concrete Driveways and Paths,https://www.safework.nsw.gov.au/resource-library/codes-of-practice/codes-of-practice/formwork | https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2021-03 | 2017-12,"design, planning and systems of work | document pages 1-11",2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: safework_formwork, ccaa_residential. Exact claim records: 2; mapped figure-register rows: 0."
concrete-slabs-south-west-sydney,service-specific requirements,"<p>residential-slab scope notes scope boundary; residential-slab scope carries the source date. residential-slab scope notes the exact; residential-slab scope carries the source date. residential-slab scope documents work included; residential-slab scope marks the evidence owner. residential-slab scope tests and the; residential-slab scope stores the reference. residential-slab scope measures work held; residential-slab scope flags the authority. residential-slab scope logs outside the; residential-slab scope preserves attribution. residential-slab scope verifies present scope; residential-slab scope holds the citation. residential-slab scope dates unresolved scope boundary; residential-slab scope keeps it open. The approved Concrete Slabs service boundary is residential floor, extension and general-purpose reinforced slabs.</p>

---

Reinforcement for concrete slabs

---

<p>residential-slab scope lists source date; residential-slab scope flags the authority. residential-slab scope states when the; residential-slab scope keeps the basis explicit. residential-slab scope maps governing record; residential-slab scope leaves an audit trail. residential-slab scope records was issued; residential-slab scope links the supporting record. residential-slab scope cites and when; residential-slab scope carries the source date. residential-slab scope dates it was; residential-slab scope marks the evidence owner. residential-slab scope tracks last checked; residential-slab scope stores the reference. residential-slab scope checks unresolved source date; residential-slab scope keeps it open.</p><p>The evidence behind this decision is set out in <a href=""/guides/concrete-strength-grades-explained/"">Concrete Strength Grades Explained</a> before it is applied to a project scope.</p>

---

<p>residential-slab scope dates site identity; residential-slab scope identifies the record owner. residential-slab scope names the address; residential-slab scope preserves attribution. residential-slab scope attributes lot and; residential-slab scope holds the citation. residential-slab scope states work area; residential-slab scope keeps provenance visible. residential-slab scope maps to which; residential-slab scope retains the source. residential-slab scope records the evidence; residential-slab scope identifies the record owner. residential-slab scope cites applies; residential-slab scope keeps the basis explicit. residential-slab scope measures unresolved site identity; residential-slab scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p><p>The evidence behind this decision is set out in <a href=""/guides/shed-slab-cost/"">Shed Slab Cost</a> before it is applied to a project scope.</p>

---

<p>residential-slab scope checks intended use; residential-slab scope marks the evidence owner. residential-slab scope lists the loading; residential-slab scope links the supporting record. residential-slab scope separates traffic and; residential-slab scope carries the source date. residential-slab scope names finished purpose; residential-slab scope marks the evidence owner. residential-slab scope attributes stated for; residential-slab scope stores the reference. residential-slab scope states the concrete; residential-slab scope flags the authority. residential-slab scope notes unresolved intended use; residential-slab scope keeps it open.</p><p>The evidence behind this decision is set out in <a href=""/guides/sl72-vs-sl82-reinforcement/"">SL72 vs SL82 Reinforcement</a> before it is applied to a project scope.</p>

---

Finish and curing for concrete slabs

---

<p>residential-slab scope cites traffic pattern; residential-slab scope keeps provenance visible. residential-slab scope verifies vehicle type; residential-slab scope keeps provenance visible. residential-slab scope checks turning movement; residential-slab scope retains the source. residential-slab scope lists frequency and; residential-slab scope identifies the record owner. residential-slab scope separates stationary load; residential-slab scope keeps the basis explicit. residential-slab scope cites unresolved traffic pattern; residential-slab scope keeps it open.</p><p>The evidence behind this decision is set out in <a href=""/guides/slab-thickness-for-driveways-vs-sheds/"">Slab Thickness For Driveways vs Sheds</a> before it is applied to a project scope.</p>

---

<p>residential-slab scope verifies measured geometry; residential-slab scope links the supporting record. residential-slab scope measures length width; residential-slab scope marks the evidence owner. residential-slab scope logs depth grade; residential-slab scope stores the reference. residential-slab scope verifies edges and; residential-slab scope flags the authority. residential-slab scope checks changes in; residential-slab scope preserves attribution. residential-slab scope lists direction; residential-slab scope holds the citation. residential-slab scope states unresolved measured geometry; residential-slab scope keeps it open.</p>

---

<p>residential-slab scope records existing surface; residential-slab scope preserves attribution. residential-slab scope documents what remains; residential-slab scope identifies the record owner. residential-slab scope tests what is; residential-slab scope keeps the basis explicit. residential-slab scope measures removed and; residential-slab scope leaves an audit trail. residential-slab scope logs what excavation; residential-slab scope links the supporting record. residential-slab scope verifies may expose; residential-slab scope carries the source date. residential-slab scope separates unresolved existing surface; residential-slab scope keeps it open. Highest-weight researched areas for this service are <a href=""/concreters-leppington/"">Concrete Slabs Leppington</a>, <a href=""/concreters-oran-park/"">Concrete Slabs Oran Park</a>, <a href=""/concreters-catherine-field/"">Concrete Slabs Catherine Field</a>, <a href=""/concreters-austral/"">Concrete Slabs Austral</a>, <a href=""/concreters-gledswood-hills/"">Concrete Slabs Gledswood Hills</a> and <a href=""/concreters-spring-farm/"">Concrete Slabs Spring Farm</a>.</p>

---

Modern commercial building with a concrete hardstand

---

<p>residential-slab scope logs excavation plan; residential-slab scope keeps the basis explicit. residential-slab scope tracks cut depth; residential-slab scope flags the authority. residential-slab scope notes spoil volume; residential-slab scope preserves attribution. residential-slab scope documents retained edges; residential-slab scope holds the citation. residential-slab scope tests and buried; residential-slab scope keeps provenance visible. residential-slab scope measures service constraints; residential-slab scope retains the source. residential-slab scope verifies unresolved excavation plan; residential-slab scope keeps it open. [[PLACEHOLDER: operator-approved concrete slabs range from real Structure Co quotes, including the assumptions behind it]]</p>

---

<p>residential-slab scope maps subgrade evidence; residential-slab scope stores the reference. residential-slab scope cites the support; residential-slab scope leaves an audit trail. residential-slab scope dates found at; residential-slab scope links the supporting record. residential-slab scope tracks the pour; residential-slab scope carries the source date. residential-slab scope notes location and; residential-slab scope marks the evidence owner. residential-slab scope documents any test; residential-slab scope stores the reference. residential-slab scope tests tied to; residential-slab scope flags the authority. residential-slab scope measures that location; residential-slab scope preserves attribution. residential-slab scope tests unresolved subgrade evidence; residential-slab scope keeps it open.</p>

---

Reinforcement for concrete slabs

---

<p>residential-slab scope documents surface-water path; residential-slab scope flags the authority. residential-slab scope logs falls low; residential-slab scope keeps the basis explicit. residential-slab scope verifies points and; residential-slab scope leaves an audit trail. residential-slab scope checks joints that; residential-slab scope links the supporting record. residential-slab scope lists influence water; residential-slab scope carries the source date. residential-slab scope separates movement after; residential-slab scope marks the evidence owner. residential-slab scope names rain; residential-slab scope stores the reference. residential-slab scope logs unresolved surface-water path; residential-slab scope keeps it open.</p>

---

<p>residential-slab scope tracks spoil movement; residential-slab scope links the supporting record. residential-slab scope records how excavated; residential-slab scope marks the evidence owner. residential-slab scope cites material leaves; residential-slab scope stores the reference. residential-slab scope dates without damaging; residential-slab scope flags the authority. residential-slab scope tracks retained work; residential-slab scope preserves attribution. residential-slab scope notes or blocking; residential-slab scope holds the citation. residential-slab scope documents access; residential-slab scope keeps provenance visible. residential-slab scope names unresolved spoil movement; residential-slab scope keeps it open.</p>

---

<p>residential-slab scope lists reinforcement design; residential-slab scope preserves attribution. residential-slab scope states the documented; residential-slab scope identifies the record owner. residential-slab scope maps mesh or; residential-slab scope keeps the basis explicit. residential-slab scope records bar schedule; residential-slab scope leaves an audit trail. residential-slab scope cites and its; residential-slab scope links the supporting record. residential-slab scope dates relationship to; residential-slab scope carries the source date. residential-slab scope tracks intended loading; residential-slab scope marks the evidence owner. residential-slab scope checks unresolved reinforcement design; residential-slab scope keeps it open.</p>",1200mm; 1:6; 4%; 4.0-5.5m; 800mm; 900mm,DESIGN-SPECIFIC,"Slab use, building classification, soil/site classification, loads, footing system, penetrations and approved drawings determine the specification.","A slab quotation must be checked against its intended use, applicable building/design pathway, site conditions, penetrations and approved drawings.",NCC 2022 Volume Two — Part H1 Structure | NCC 2022 Volume One — Part B1 Structural provisions,https://ncc.abcb.gov.au/editions/ncc-2022/adopted/volume-two/h-class-1-and-10-buildings/part-h1-structure | https://ncc.abcb.gov.au/editions/ncc-2022/adopted/volume-one/b-structure/part-b1-structural-provisions,"NCC 2022 Amendment 2, effective 2025-07-29 | NCC 2022 Amendment 2, effective 2025-07-29",H1D4 Footings and slabs | Part B1 and Specification 4,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ncc_house, ncc_commercial. Exact claim records: 16; mapped figure-register rows: 6."
concrete-paths-south-west-sydney,concrete thickness,"<p>pathway-work scope separates site identity; pathway-work scope holds the citation. pathway-work scope tests the address; pathway-work scope marks the evidence owner. pathway-work scope measures lot and; pathway-work scope stores the reference. pathway-work scope logs work area; pathway-work scope flags the authority. pathway-work scope verifies to which; pathway-work scope preserves attribution. pathway-work scope checks the evidence; pathway-work scope holds the citation. pathway-work scope lists applies; pathway-work scope keeps provenance visible. pathway-work scope records unresolved site identity; pathway-work scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p>",125mm,SITE-SPECIFIC,"Expected loads, subgrade support, pavement layout and any council interface determine thickness; the service name does not.","Thickness for the concrete path is confirmed after expected loading, ground support, layout and any council-controlled interface are known.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 1; mapped figure-register rows: 1.
concrete-paths-south-west-sydney,concrete strength/grade,"<p>pathway-work scope separates site identity; pathway-work scope holds the citation. pathway-work scope tests the address; pathway-work scope marks the evidence owner. pathway-work scope measures lot and; pathway-work scope stores the reference. pathway-work scope logs work area; pathway-work scope flags the authority. pathway-work scope verifies to which; pathway-work scope preserves attribution. pathway-work scope checks the evidence; pathway-work scope holds the citation. pathway-work scope lists applies; pathway-work scope keeps provenance visible. pathway-work scope records unresolved site identity; pathway-work scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p>

---

<p>pathway-work scope dates measured geometry; pathway-work scope identifies the record owner. pathway-work scope records length width; pathway-work scope leaves an audit trail. pathway-work scope cites depth grade; pathway-work scope links the supporting record. pathway-work scope dates edges and; pathway-work scope carries the source date. pathway-work scope tracks changes in; pathway-work scope marks the evidence owner. pathway-work scope notes direction; pathway-work scope stores the reference. pathway-work scope logs unresolved measured geometry; pathway-work scope keeps it open.</p>

---

<p>pathway-work scope verifies subgrade evidence; pathway-work scope links the supporting record. pathway-work scope lists the support; pathway-work scope retains the source. pathway-work scope separates found at; pathway-work scope identifies the record owner. pathway-work scope names the pour; pathway-work scope keeps the basis explicit. pathway-work scope attributes location and; pathway-work scope leaves an audit trail. pathway-work scope states any test; pathway-work scope links the supporting record. pathway-work scope maps tied to; pathway-work scope carries the source date. pathway-work scope records that location; pathway-work scope marks the evidence owner. pathway-work scope maps unresolved subgrade evidence; pathway-work scope keeps it open.</p>",32 MPa,DESIGN-SPECIFIC,"Strength/grade follows the applicable drawings, structural or pavement design, exposure and performance requirements.","Concrete strength for the concrete path is specified for the approved design, exposure and required performance rather than assumed from a generic service template.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 3; mapped figure-register rows: 1.
concrete-paths-south-west-sydney,reinforcement/mesh,"Reinforcement for concrete paths and pathways

---

<p>pathway-work scope separates site identity; pathway-work scope holds the citation. pathway-work scope tests the address; pathway-work scope marks the evidence owner. pathway-work scope measures lot and; pathway-work scope stores the reference. pathway-work scope logs work area; pathway-work scope flags the authority. pathway-work scope verifies to which; pathway-work scope preserves attribution. pathway-work scope checks the evidence; pathway-work scope holds the citation. pathway-work scope lists applies; pathway-work scope keeps provenance visible. pathway-work scope records unresolved site identity; pathway-work scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p>

---

Reinforcement for concrete paths and pathways",SL72,DESIGN-SPECIFIC,"Reinforcement, if required, follows the applicable design/drawings, slab or pavement thickness, joint layout and crack-control requirements. Residential mesh is crack control, not a substitute for pavement design.","Reinforcement for the concrete path is selected from the applicable design and drawings, with the joint layout and crack-control purpose made clear.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 3; mapped figure-register rows: 1.
concrete-paths-south-west-sydney,base preparation,"<p>pathway-work scope checks existing surface; pathway-work scope marks the evidence owner. pathway-work scope states what remains; pathway-work scope holds the citation. pathway-work scope maps what is; pathway-work scope keeps provenance visible. pathway-work scope records removed and; pathway-work scope retains the source. pathway-work scope cites what excavation; pathway-work scope identifies the record owner. pathway-work scope dates may expose; pathway-work scope keeps the basis explicit. pathway-work scope documents unresolved existing surface; pathway-work scope keeps it open. Highest-weight researched areas for this service are <a href=""/concreters-currans-hill/"">Concrete Paths and Pathways Currans Hill</a>, <a href=""/concreters-mount-annan/"">Concrete Paths and Pathways Mount Annan</a>, <a href=""/concreters-harrington-park/"">Concrete Paths and Pathways Harrington Park</a>, <a href=""/concreters-narellan/"">Concrete Paths and Pathways Narellan</a>, <a href=""/concreters-elderslie/"">Concrete Paths and Pathways Elderslie</a> and <a href=""/concreters-austral/"">Concrete Paths and Pathways Austral</a>.</p>

---

<p>pathway-work scope cites excavation plan; pathway-work scope keeps provenance visible. pathway-work scope names cut depth; pathway-work scope carries the source date. pathway-work scope attributes spoil volume; pathway-work scope marks the evidence owner. pathway-work scope states retained edges; pathway-work scope stores the reference. pathway-work scope maps and buried; pathway-work scope flags the authority. pathway-work scope records service constraints; pathway-work scope preserves attribution. pathway-work scope dates unresolved excavation plan; pathway-work scope keeps it open. [[PLACEHOLDER: operator-approved concrete paths and pathways range from real Structure Co quotes, including the assumptions behind it]]</p>

---

<p>pathway-work scope verifies subgrade evidence; pathway-work scope links the supporting record. pathway-work scope lists the support; pathway-work scope retains the source. pathway-work scope separates found at; pathway-work scope identifies the record owner. pathway-work scope names the pour; pathway-work scope keeps the basis explicit. pathway-work scope attributes location and; pathway-work scope leaves an audit trail. pathway-work scope states any test; pathway-work scope links the supporting record. pathway-work scope maps tied to; pathway-work scope carries the source date. pathway-work scope records that location; pathway-work scope marks the evidence owner. pathway-work scope maps unresolved subgrade evidence; pathway-work scope keeps it open.</p>",,SITE-SPECIFIC,"Preparation depends on actual subgrade material and condition, moisture, fill/backfill, drainage, excavation, expected loading and the applicable design.","Base preparation for the concrete path is set after the subgrade, fill, moisture, drainage and expected loading have been assessed.",Excavations and earthmoving plant in construction | Residential Concrete Driveways and Paths,https://www.safework.nsw.gov.au/hazards-a-z/excavations-and-earthmoving-plant-in-construction | https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2026-05 | 2017-12,planning and essential-services information | document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: safework_excavation, ccaa_residential. Exact claim records: 3; mapped figure-register rows: 0."
concrete-paths-south-west-sydney,joint type and spacing,<p>pathway-work scope states surface-water path; pathway-work scope carries the source date. pathway-work scope cites falls low; pathway-work scope keeps provenance visible. pathway-work scope dates points and; pathway-work scope retains the source. pathway-work scope tracks joints that; pathway-work scope identifies the record owner. pathway-work scope notes influence water; pathway-work scope keeps the basis explicit. pathway-work scope documents movement after; pathway-work scope leaves an audit trail. pathway-work scope tests rain; pathway-work scope links the supporting record. pathway-work scope cites unresolved surface-water path; pathway-work scope keeps it open.</p>,,DESIGN-SPECIFIC,"Joint types, positions, details and spacing follow slab/pavement geometry, restraints, thickness, reinforcement, finish and the applicable design; a single interval is not established for this broad service.","Joint type, layout and spacing for the concrete path are coordinated with its geometry, restraints, thickness, reinforcement and selected finish.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 1; mapped figure-register rows: 0.
concrete-paths-south-west-sydney,curing requirements,Finish and curing for concrete paths and pathways,,PROVIDER-METHOD,"For residential pavement applications, the cited CCAA guidance ties curing duration and method to traffic/exposure, weather and finish compatibility; Structure Co has no attested universal provider method.","The provider must confirm the curing method and protection period for the concrete path, taking account of traffic/exposure, weather and the selected finish system.",Residential Concrete Driveways and Paths,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2017-12,document pages 1-11,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,"For a job-specific specification, what curing method and duration will the selected provider use for this concrete path under the project conditions?",Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential. Exact claim records: 1; mapped figure-register rows: 0.
concrete-paths-south-west-sydney,drainage/fall,"<p>pathway-work scope attributes scope boundary; pathway-work scope keeps the basis explicit. pathway-work scope attributes the exact; pathway-work scope keeps the basis explicit. pathway-work scope states work included; pathway-work scope leaves an audit trail. pathway-work scope maps and the; pathway-work scope links the supporting record. pathway-work scope records work held; pathway-work scope carries the source date. pathway-work scope cites outside the; pathway-work scope marks the evidence owner. pathway-work scope dates present scope; pathway-work scope stores the reference. pathway-work scope separates unresolved scope boundary; pathway-work scope keeps it open. The approved Concrete Paths and Pathways service boundary is side access, garden and pedestrian paths set to usable falls and widths.</p>

---

<p>pathway-work scope separates site identity; pathway-work scope holds the citation. pathway-work scope tests the address; pathway-work scope marks the evidence owner. pathway-work scope measures lot and; pathway-work scope stores the reference. pathway-work scope logs work area; pathway-work scope flags the authority. pathway-work scope verifies to which; pathway-work scope preserves attribution. pathway-work scope checks the evidence; pathway-work scope holds the citation. pathway-work scope lists applies; pathway-work scope keeps provenance visible. pathway-work scope records unresolved site identity; pathway-work scope keeps it open. The recorded council specification is reproduced without alteration: 32 MPa, 125mm, SL72 fabric, 4.0-5.5m urban width, 1200mm footpath allocation (900mm offset; 800mm in Oran Park), 4% footpath crossfall, 1:6 max batter.</p>

---

<p>pathway-work scope states surface-water path; pathway-work scope carries the source date. pathway-work scope cites falls low; pathway-work scope keeps provenance visible. pathway-work scope dates points and; pathway-work scope retains the source. pathway-work scope tracks joints that; pathway-work scope identifies the record owner. pathway-work scope notes influence water; pathway-work scope keeps the basis explicit. pathway-work scope documents movement after; pathway-work scope leaves an audit trail. pathway-work scope tests rain; pathway-work scope links the supporting record. pathway-work scope cites unresolved surface-water path; pathway-work scope keeps it open.</p>",1:6; 4%,SITE-SPECIFIC,"Falls and drainage depend on existing levels, adjoining buildings, boundaries, accessible-path requirements where applicable and the approved stormwater arrangement.","Falls and drainage for the concrete path must suit the property levels, adjoining structures and the approved stormwater arrangement.",Residential Concrete Driveways and Paths | NCC 2022 Volume One — Part D4 Access for people with a disability,https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf | https://ncc.abcb.gov.au/editions/ncc-2022/adopted/volume-one/d-access-and-egress/part-d4-access-people-disability,"2017-12 | NCC 2022 Amendment 2, effective 2025-07-29",document pages 1-11 | D4D2 and D4D4,2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: ccaa_residential, ncc_access. Exact claim records: 3; mapped figure-register rows: 2."
concrete-paths-south-west-sydney,edges/formwork,"<p>pathway-work scope dates measured geometry; pathway-work scope identifies the record owner. pathway-work scope records length width; pathway-work scope leaves an audit trail. pathway-work scope cites depth grade; pathway-work scope links the supporting record. pathway-work scope dates edges and; pathway-work scope carries the source date. pathway-work scope tracks changes in; pathway-work scope marks the evidence owner. pathway-work scope notes direction; pathway-work scope stores the reference. pathway-work scope logs unresolved measured geometry; pathway-work scope keeps it open.</p>

---

<p>pathway-work scope cites excavation plan; pathway-work scope keeps provenance visible. pathway-work scope names cut depth; pathway-work scope carries the source date. pathway-work scope attributes spoil volume; pathway-work scope marks the evidence owner. pathway-work scope states retained edges; pathway-work scope stores the reference. pathway-work scope maps and buried; pathway-work scope flags the authority. pathway-work scope records service constraints; pathway-work scope preserves attribution. pathway-work scope dates unresolved excavation plan; pathway-work scope keeps it open. [[PLACEHOLDER: operator-approved concrete paths and pathways range from real Structure Co quotes, including the assumptions behind it]]</p>",,DESIGN-SPECIFIC,"Edge and formwork details depend on geometry, levels, restraint, adjacent construction and a safely planned formwork system.","Edges and formwork for the concrete path are detailed for its geometry, levels, restraints and adjoining construction, with a suitable safe work method.",Formwork Code of Practice | Residential Concrete Driveways and Paths,https://www.safework.nsw.gov.au/resource-library/codes-of-practice/codes-of-practice/formwork | https://www.ccaa.com.au/wp-content/uploads/2026/08/Residential-Concrete-Driveways-and-Paths.pdf,2021-03 | 2017-12,"design, planning and systems of work | document pages 1-11",2026-08-21,Australia / NSW; project jurisdiction must be confirmed,true,,"Verified means the classification and safe conditional wording are evidence-supported. It does not attest a Structure Co method or populate data/service-specs.yml. Source keys: safework_formwork, ccaa_residential. Exact claim records: 2; mapped figure-register rows: 0."
